"타임스탬프","학년 ","거주 형태  ","학생식당 이용 빈도 ","학생식당을 이용하지 않거나 덜 이용하는 가장 큰 이유 ","줄이 길거나 품절이라서 식사를 포기한 경험이 있나요  ","학생식당 가기 전에 가장 알고 싶은 정보  ","혼잡도/잔여 수량/예상 대기시간 정보가 제공되면 이용 판단에 도움이 되나요  ","학생식당이 가장 먼저 개선되어야 할 점 1가지를 적어주세요 "
"2026/04/25 12:50:58 오후 GMT+9","1학년","하숙/자취","거의 이용하지 않음","위치/이동이 불편해서","","현재 혼잡도","매우 그렇다",""
"2026/04/25 12:55:20 오후 GMT+9","1학년","통학","주 2~3회","메뉴가 다양하지 않아서","가끔 있다","남은 수량","보통이다","주말이용"
"2026/04/25 1:07:36 오후 GMT+9","1학년","통학","주 2~3회","대기시간이 길어서;위치/이동이 불편해서;외부 식당이 더 나아서","가끔 있다","현재 혼잡도","매우 그렇다",""
"2026/04/25 1:14:04 오후 GMT+9","4학년","하숙/자취","거의 이용하지 않음","메뉴가 다양하지 않아서;위치/이동이 불편해서;외부 식당이 더 나아서","자주 있다","예상 대기시간","매우 그렇다","혼잡도 예상 시간"
"2026/04/25 1:18:46 오후 GMT+9","1학년","하숙/자취","거의 이용하지 않음","가격 대비 만족도가 낮아서","거의 없다","예상 대기시간","그렇다",""
"2026/04/25 1:18:48 오후 GMT+9","1학년","기숙사","주 2~3회","대기시간이 길어서;메뉴가 다양하지 않아서;남은 수량/품절 여부를 몰라서;가격 대비 만족도가 낮아서;좌석/식사 환경이 불편해서;외부 식당이 더 나아서","가끔 있다","예상 대기시간","매우 그렇다",""
"2026/04/25 1:22:55 오후 GMT+9","1학년","하숙/자취","거의 이용하지 않음","대기시간이 길어서;위치/이동이 불편해서;외부 식당이 더 나아서","가끔 있다","현재 혼잡도","그렇다",""
"2026/04/25 1:26:16 오후 GMT+9","1학년","기숙사","주 4회 이상","메뉴가 다양하지 않아서;기타","거의 없다","현재 혼잡도","매우 그렇다","사람이 너무 없을때랑 많을때의 편차가 꽤 커서"
"2026/04/25 1:34:56 오후 GMT+9","1학년","기숙사","주 1회 이하","외부 식당이 더 나아서","거의 없다","현재 혼잡도","매우 그렇다","자리 차지"
"2026/04/25 2:09:57 오후 GMT+9","1학년","하숙/자취","거의 이용하지 않음","대기시간이 길어서;위치/이동이 불편해서","가끔 있다","예상 대기시간","보통이다",""
"2026/04/25 2:25:19 오후 GMT+9","3학년","기숙사","주 2~3회","외부 식당이 더 나아서","가끔 있다","남은 수량","그렇다",""
"2026/04/25 3:08:52 오후 GMT+9","1학년","통학","주 2~3회","대기시간이 길어서;위치/이동이 불편해서;외부 식당이 더 나아서","거의 없다","오늘 메뉴","매우 그렇다",""
"2026/04/25 3:24:15 오후 GMT+9","1학년","하숙/자취","주 4회 이상","메뉴가 다양하지 않아서;가격 대비 만족도가 낮아서;외부 식당이 더 나아서","가끔 있다","오늘 메뉴","매우 그렇다","맛,퀄리티"
"2026/04/25 3:55:21 오후 GMT+9","1학년","기숙사","주 2~3회","대기시간이 길어서","가끔 있다","예상 대기시간","매우 그렇다","좌석문제"
"2026/04/25 5:40:51 오후 GMT+9","1학년","기숙사","주 4회 이상","기타","가끔 있다","예상 대기시간","매우 그렇다",""
"2026/04/25 5:50:38 오후 GMT+9","1학년","기숙사","주 1회 이하","메뉴가 다양하지 않아서","거의 없다","학생 선호 메뉴 정보","그렇다","메뉴 다양성"
"2026/04/25 6:01:20 오후 GMT+9","1학년","기숙사","주 4회 이상","대기시간이 길어서","전혀 없다","예상 대기시간","매우 그렇다","점심시간에 자리가 너무 없음"
"2026/04/25 6:23:54 오후 GMT+9","1학년","기숙사","주 4회 이상","대기시간이 길어서;좌석/식사 환경이 불편해서","자주 있다","현재 혼잡도","매우 그렇다",""
"2026/04/25 6:25:17 오후 GMT+9","1학년","통학","거의 이용하지 않음","외부 식당이 더 나아서","전혀 없다","오늘 메뉴","보통이다",""
"2026/04/25 6:25:49 오후 GMT+9","1학년","기숙사","거의 이용하지 않음","대기시간이 길어서;남은 수량/품절 여부를 몰라서","자주 있다","남은 수량","매우 그렇다",""
"2026/04/25 6:30:33 오후 GMT+9","1학년","기숙사","주 4회 이상","남은 수량/품절 여부를 몰라서;가격 대비 만족도가 낮아서;좌석/식사 환경이 불편해서","자주 있다","현재 혼잡도","매우 그렇다","자리개편"
"2026/04/25 6:43:30 오후 GMT+9","1학년","기숙사","주 1회 이하","대기시간이 길어서","전혀 없다","현재 혼잡도","매우 그렇다",""
"2026/04/25 6:58:17 오후 GMT+9","1학년","기숙사","주 2~3회","메뉴가 다양하지 않아서;남은 수량/품절 여부를 몰라서;좌석/식사 환경이 불편해서","가끔 있다","남은 수량","매우 그렇다",""
"2026/04/25 7:26:14 오후 GMT+9","2학년","기숙사","거의 이용하지 않음","가격 대비 만족도가 낮아서","가끔 있다","학생 선호 메뉴 정보","보통이다","짜야할 음식이 안 짜고, 짜면 안될 음식에서 짠 맛이 난다?
분명 콩나물볶음인데 짠맛이 안나요.."
